fname,speaker,seq,utter,stime,etime,wcount,emotion,senti,key_phrase
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,0,"All right. We're now being recorded. And then the last sort of housekeeping thing is about adverse events. If one is mentioned during the course of a market research interview, we now have to report that even if the healthcare professional has already done so, and if that happens, I'm not recorded, then the pharmacovigilance people, my client may need to talk with you about that particular patient. That incident, everything else in the interview remains in confidence. Would that be okay?",0,31,82,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,1,Yes.,31,32,1,Sad,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,2,"Alright, fine. Thank you so very much. So Let's start. Please tell me what your title is and briefly describe your your responsibilities or your role.",32,46,26,Sad,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,3,My title is clinical supervisor and a Ed behavior health observation unit. I've been in the role of the last two years and I've been a registered nurse for over 25 years.,47,62,32,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,4,Okay. Describe the the place where you practice. Is it hospital based? Is it an institution? What?,63,73,17,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,5,"It's an academic teaching hospital, global one from owner number of licensed beds there greater than 700. It's in a urban part of the struggle market.",73,89,26,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,6,"Okay, fine. Now, how many patients would you see for all reasons, in a typical month?",89,98,16,Happy,Positive,many patients
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,7,Total patients or just are you referring to as a Hare in total?,101,105,13,Fear,Neutral,Total patients
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,8,"Well, mental health patients.",105,108,4,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,9,"Mental health, specifically, probably anywhere from two to 300.",110,114,9,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,10,Okay. How many of those numbers are approximate and your best guess is fine. How many of those would have schizophrenia? How many would have bipolar one disorder? I.,114,125,29,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,11,Would say probably a third would be schizophrenia and bipolar will probably be about so. But in case I should say.,127,139,21,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,12,"Alright, so about 70 schizophrenia patients and about 50 bipolar is that. Would that be right?",141,148,16,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,13,"I'm sorry, I sent percentages. So I would say schizophrenia is more like maybe 30 a month and buy dollars, probably more like 50 a month.",148,155,26,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,14,"Alright. So 30 scherin patients, 50 bipolar. Okay, that's fine. We'll work with those numbers then. Alright.",155,164,17,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,15,Okay. So.,165,169,2,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,16,"Let's see. Let me put up a table. And what I would like you to do is populate this table for me of your schizophrenia patients. Of the 30, how many would be on oral antipsychotics?",174,191,36,Sad,Positive,none
